CallSign, Airline
AAL, AMERICAN
AAY, ALLEGIANT
ACA, AIR CANADA
AIJ, ABC AEROLINEAS
AMX, AEROMEXICO
ANA, ALL NIPPON
ASA, ALASKA
ASH, MESA AVIATION
ATN, AIR TRANSPORT
AWI, AIR WISCONSIN
BAW, BRITISH AIRWAYS
DAL, DELTA AIR LINES
DLH, LUFTHANSA
EDV, ENDEAVOR AIR
ENY, ENVOY AIR
FDX, FEDEX
FFT, FRONTIER 
GEC, LUFTHANSA CARGO
HAL, HAWAIIAN AIRLINES
JBU, JETBLUE
JIA, PSA AIRLINES
KLM, KLM ROYAL DUTCH
NKS, SPIRIT
PDT, PIEDMONT
POE, PORTER AIRLINES
QTR, QATAR AIRWAYS
QXE, HORIZON AIR
ROU, AIR CANADA ROUGE
RPA, REPUBLIC AIRLINES
SCX, SUN COUNTRY
SKW, SKY WEST
SWA, SOUTHWEST AIRLINES 
SWG, SUNWING
TSC, AIR TRANSAT 
UAE, EMIRATES
UAL, UNITED AIRLINES
UCA, COMMUTAIR
UPS, UPS
VIV, AEROENLACES
VOI, VOLARIS
WJA, WESTJET
