HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
A0E558,2022-07-05,08:00:10,N157MW,41000,465,533,Private
AAA9FB,2022-07-05,08:00:10,SWA1636,21525,422,2354,SWA
A06CF8,2022-07-05,08:00:10,N1264Z,4000,130,,Private
A3D4ED,2022-07-05,08:00:10,AAL1579,10250,309,,AAL
AA64CA,2022-07-05,08:00:10,AAL1924,10725,278,2442,AAL
A9820A,2022-07-05,08:00:11,N711ZG  ,3925,127,,Private
A1E3B4,2022-07-05,08:00:21,N2202W,1000,69,,Private
A4D621,2022-07-05,08:00:40,NA,39000,447,,NA
A9046D,2022-07-05,08:00:48,NKS718,12075,257,,NKS
AD928B,2022-07-05,08:01:32,ASA263,32600,475,4025,ASA
A7FA2D,2022-07-05,08:02:01,NA,28675,456,,NA
AC8EB4,2022-07-05,08:02:12,GAJ908,43000,506,3727,GAJ
A471A4,2022-07-05,08:02:12,NA,1975,,1200,NA
86E75E,2022-07-05,08:02:15,JAL6713,2600,161,2345,JAL
ADEDDD,2022-07-05,08:02:17,AAL2111,9925,289,2236,AAL
AB17E1,2022-07-05,08:02:47,N8137U,2200,102,1200,Private
A83673,2022-07-05,08:02:48,N6281C,1400,115,1200,Private
AC04D3,2022-07-05,08:03:03,SWA1622,8825,306,,SWA
AB3982,2022-07-05,08:03:31,NA,2350,189,,NA
A3A8DF,2022-07-05,08:03:35,NA,41000,,,NA
A3EF7E,2022-07-05,08:04:32,UAL2183,38000,453,,UAL
A76134,2022-07-05,08:04:49,N575CF,2000,184,,Private
AC24E4,2022-07-05,08:04:50,SWA2859,10500,314,2374,SWA
ACEA99,2022-07-05,08:05:06,AAL1066,15450,367,2666,AAL
ABE930,2022-07-05,08:05:28,DAL761,35000,466,744,DAL
A0D561,2022-07-05,08:05:57,AAL1750,10575,285,6136,AAL
A34F40,2022-07-05,08:06:19,NA,41000,437,,NA
AE4AFE,2022-07-05,08:06:44,NA,27000,,,NA
A0AA1B,2022-07-05,08:07:19,NA,27000,437,,NA
A5B4E1,2022-07-05,08:07:33,NA,1400,144,,NA
AAA267,2022-07-05,08:07:48,UAL2371,2200,201,2237,UAL
A768FD,2022-07-05,08:07:54,LXJ577,2825,405,2372,LXJ
A25785,2022-07-05,08:07:57,N250AG,17125,379,504,Private
