HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline,NearestHour
AD35E0,2022-07-10,20:01:28,AAL541,11475,276,7056,AAL,20:00:00
A05776,2022-07-10,20:01:28,AAL2837,8850,285,6204,AAL,20:00:00
A3AE31,2022-07-10,20:01:28,N336XL,13750,324,,Private,20:00:00
A9238A,2022-07-10,20:01:28,UAL1976,30700,476,4010,UAL,20:00:00
A2AF23,2022-07-10,20:01:28,NA,12850,355,,NA,20:00:00
ABB68C,2022-07-10,20:01:28,DAL1010,35000,481,,DAL,20:00:00
A9B402,2022-07-10,20:01:28,SKW3077,11100,347,6211,SKW,20:00:00
A690C6,2022-07-10,20:01:28,N522EF,3825,156,,Private,20:00:00
A7D751,2022-07-10,20:01:29,NA,18775,416,,NA,20:00:00
A2FA6A,2022-07-10,20:01:49,ENY3566,35000,464,2506,ENY,20:00:00
AA5D60,2022-07-10,20:01:50,AAL1865,17400,397,1105,AAL,20:00:00
A8AAA5,2022-07-10,20:01:56,SKW3121,12075,272,1653,SKW,20:00:00
A0B199,2022-07-10,20:02:18,AAL1243,5075,258,,AAL,20:00:00
AAE28A,2022-07-10,20:02:53,NA,2750,118,,NA,20:00:00
A59B9C,2022-07-10,20:03:09,SWA3152,6075,273,2304,SWA,20:00:00
A5198F,2022-07-10,20:03:11,NA,2050,134,,NA,20:00:00
A1C534,2022-07-10,20:03:33,FFT505,6425,283,,FFT,20:00:00
A209B9,2022-07-10,20:04:08,ENY3698,5100,290,,ENY,20:00:00
A953F0,2022-07-10,20:04:20,NA,,162,,NA,20:00:00
AC1068,2022-07-10,20:05:01,NA,,436,,NA,20:00:00
A5D012,2022-07-10,20:05:41,NA,6050,253,,NA,20:00:00
A32ACF,2022-07-10,20:05:53,NA,10850,392,,NA,20:00:00
A3649A,2022-07-10,20:05:59,ASA703,5750,286,6222,ASA,20:00:00
A515AD,2022-07-10,20:06:28,NA,10625,356,,NA,20:00:00
A2ECEC,2022-07-10,20:07:31,ENY4157,5000,276,3631,ENY,20:00:00
ADB3CB,2022-07-10,20:08:43,AAL364,7225,300,3411,AAL,20:00:00
A13541,2022-07-10,20:09:07,AAL2851,6325,289,2346,AAL,20:00:00
A45C17,2022-07-10,20:09:19,00000000,1575,183,557,NA,20:00:00
A238A6,2022-07-10,20:11:45,ENY3752,12075,284,1127,ENY,20:00:00
AD237F,2022-07-10,20:11:52,AAL2709,7525,293,3606,AAL,20:00:00
A5D1F7,2022-07-10,20:12:13,NA,6500,252,,NA,20:00:00
AD4CF2,2022-07-10,20:12:17,SWA2982,39000,454,2706,SWA,20:00:00
A36200,2022-07-10,20:12:31,DAL2482,30525,481,2446,DAL,20:00:00
ABD010,2022-07-10,20:12:39,AAL1381,4950,301,2252,AAL,20:00:00
A2ADDF,2022-07-10,20:13:26,UCA4834,30000,456,7470,UCA,20:00:00
A2DA59,2022-07-10,20:14:54,NA,10725,332,,NA,20:00:00
A1057A,2022-07-10,20:15:13,AAL2254,6550,272,533,AAL,20:00:00
A1B573,2022-07-10,20:15:14,SWA311,7550,317,,SWA,20:00:00
A66316,2022-07-10,20:16:51,SKW6269,30000,456,7336,SKW,20:00:00
AB0E4C,2022-07-10,20:16:54,NA,2250,,,NA,20:00:00
A08021,2022-07-10,20:18:35,AAL277,7675,291,2312,AAL,20:00:00
A972D3,2022-07-10,20:19:32,FFT2702,17025,376,734,FFT,20:00:00
A0B8FB,2022-07-10,20:20:56,AAL952,12075,318,1660,AAL,20:00:00
ABE0DF,2022-07-10,20:21:15,SWA43,34025,450,2773,SWA,20:00:00
AD2CE1,2022-07-10,20:22:08,SWA55,5400,258,2220,SWA,20:00:00
A95C89,2022-07-10,20:22:13,FFT1246,8100,270,,FFT,20:00:00
A32BF3,2022-07-10,20:23:24,AAL1551,36000,449,3677,AAL,20:00:00
AA974F,2022-07-10,20:23:55,SWA839,11000,301,2261,SWA,20:00:00
