HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
AAF877,2022/06/19,13:00:12.021,,3575,,,NA
A58DC2,2022/06/19,13:00:12.028,,28775,,,NA
A948A2,2022/06/19,13:00:12.033,,,,,NA
AD1FC8,2022/06/19,13:00:12.051,,9425,,,NA
A13C73,2022/06/19,13:00:12.065,,11400,,,NA
AA3839,2022/06/19,13:00:12.068,,3575,,,NA
A0E7F4,2022/06/19,13:00:12.149,,13500,,,NA
AD9EDF,2022/06/19,13:00:12.175,,11350,,,NA
A7F27A,2022/06/19,13:00:12.178,,12825,347,,NA
A042DB,2022/06/19,13:00:12.300,,13500,,,NA
AA7718,2022/06/19,13:00:12.335,,9450,398,,NA
A9AB72,2022/06/19,13:00:12.439,,28775,389,,NA
AC828F,2022/06/19,13:00:12.825,,18900,353,,NA
A94B2B,2022/06/19,13:00:13.444,,10925,,,NA
A555C3,2022/06/19,13:00:13.614,,,465,,NA
86EAEA,2022/06/19,13:00:13.648,,31975,,,NA
A757CE,2022/06/19,13:00:13.696,AAL2393,13550,219,,AAL
A33327,2022/06/19,13:00:14.951,,13050,407,,NA
A27FEA,2022/06/19,13:00:15.743,N806DE,3550,357,,Private
AAEF60,2022/06/19,13:00:19.471,DAL2792,3575,168,1200,DAL
A03009,2022/06/19,13:00:22.883,N806DE,23000,219,,Private
A8305A,2022/06/19,13:00:26.542,,25000,218,1200,NA
AA8152,2022/06/19,13:00:27.261,AAL2393,12300,462,,AAL
ABC12A,2022/06/19,13:00:29.548,UAL1119,11775,300,1200,UAL
A24EC1,2022/06/19,13:00:31.586,SKW4945,3175,203,1200,SKW
AB15BA,2022/06/19,13:00:35.828,AAL407,10275,270,1200,AAL
AA2701,2022/06/19,13:00:38.418,SKW3237,2450,328,,SKW
A1DEAE,2022/06/19,13:00:40.289,UAL1119,3000,266,737,UAL
AD185A,2022/06/19,13:01:11.142,AAL2393,33000,266,2277,AAL
A9F424,2022/06/19,13:01:20.585,UAL1119,2850,281,,UAL
A27A26,2022/06/19,13:01:25.440,DAL2792,33200,477,2225,DAL
A187BA,2022/06/19,13:01:34.637,AAL2393,20775,408,737,AAL
ADAB31,2022/06/19,13:01:44.422,DAL2792,14050,111,2750,DAL
A8492D,2022/06/19,13:01:58.400,N806DE,11875,108,2750,Private
A05F31,2022/06/19,13:02:03.205,AAL2393,15600,110,2750,AAL
