HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline,Weekday,BarometricPressure,Temp,WindSpeed,WindDirection,Raining
AAEF60,2022-07-04,20:01:13,NA,,,,NA,Tuesday,29.13,94,18,SE,No
A273F5,2022-07-04,20:01:13,UAL1852,39975,472,2475,UAL,Tuesday,29.13,94,18,SE,No
A2D2EB,2022-07-04,20:01:13,ENY3771,2500,306,,ENY,Tuesday,29.13,94,18,SE,No
AB942F,2022-07-04,20:01:13,NA,37000,440,,NA,Tuesday,29.13,94,18,SE,No
A9CB83,2022-07-04,20:01:13,SKW3077,13375,352,570,SKW,Tuesday,29.13,94,18,SE,No
A0B199,2022-07-04,20:01:14,AAL1458,4450,236,5272,AAL,Tuesday,29.13,94,18,SE,No
A31DC7,2022-07-04,20:01:14,NA,3400,121,,NA,Tuesday,29.13,94,18,SE,No
A0C8CD,2022-07-04,20:01:15,N15KX,2000,,1200,Private,Tuesday,29.13,94,18,SE,No
A9741D,2022-07-04,20:01:18,AAL403,6825,314,,AAL,Tuesday,29.13,94,18,SE,No
A1933C,2022-07-04,20:01:19,ENY4193,11800,279,7464,ENY,Tuesday,29.13,94,18,SE,No
AD64CD,2022-07-04,20:01:22,NA,18200,,,NA,Tuesday,29.13,94,18,SE,No
ACF946,2022-07-04,20:01:28,ASH5693,9225,310,,ASH,Tuesday,29.13,94,18,SE,No
A72CA2,2022-07-04,20:01:45,NA,8025,301,,NA,Tuesday,29.13,94,18,SE,No
A5C899,2022-07-04,20:02:02,ASA703,6875,273,565,ASA,Tuesday,29.13,94,18,SE,No
AA7288,2022-07-04,20:02:02,AAL1497,9075,301,,AAL,Tuesday,29.13,94,18,SE,No
A8E6F2,2022-07-04,20:02:13,AAL1422,2600,193,2301,AAL,Tuesday,29.13,94,18,SE,No
A9B2E0,2022-07-04,20:02:21,SKW4927,11950,279,1046,SKW,Tuesday,29.13,94,18,SE,No
A5FC42,2022-07-04,20:02:49,GTI8106,2350,297,562,GTI,Tuesday,29.13,94,18,SE,No
A02088,2022-07-04,20:03:52,NA,16550,395,,NA,Tuesday,29.13,94,18,SE,No
A80C7B,2022-07-04,20:03:58,ENY4177,12025,299,5217,ENY,Tuesday,29.13,94,18,SE,No
406E11,2022-07-04,20:04:52,VIR232G,32475,539,,VIR,Tuesday,29.13,94,18,SE,No
