Date,Time,Weekday,BarometricPressure,Temp,WindSpeed,WindDirection,Raining
2022-07-03,00:00:00,Sunday,29.20,82,9,E,No
2022-07-03,01:00:00,Sunday,29.20,82,7,E,No
2022-07-03,02:00:00,Sunday,29.20,81,9,SE,No
2022-07-03,03:00:00,Sunday,29.20,80,6,SE,No
2022-07-03,04:00:00,Sunday,29.22,79,7,S,No
2022-07-03,05:00:00,Sunday,29.21,79,10,S,No
2022-07-03,06:00:00,Sunday,29.23,79,10,S,No
2022-07-03,07:00:00,Sunday,29.24,81,12,S,No
2022-07-03,08:00:00,Sunday,29.26,84,12,S,No
2022-07-03,09:00:00,Sunday,29.26,87,9,S,No
2022-07-03,10:00:00,Sunday,29.26,89,3,VAR,No
2022-07-03,11:00:00,Sunday,29.26,93,7,S,No
2022-07-03,12:00:00,Sunday,29.25,95,12,S,No
2022-07-03,13:00:00,Sunday,29.22,96,10,SE,No
2022-07-03,14:00:00,Sunday,29.20,99,8,S,No
2022-07-03,15:00:00,Sunday,29.19,100,14,S,No
2022-07-03,16:00:00,Sunday,29.18,98,6,VAR,No
2022-07-03,17:00:00,Sunday,29.19,93,15,N,No
2022-07-03,18:00:00,Sunday,29.20,88,14,NW,No
2022-07-03,19:00:00,Sunday,29.21,85,12,N,No
2022-07-03,20:00:00,Sunday,29.19,82,5,N,No
2022-07-03,21:00:00,Sunday,29.20,83,6,NE,No
2022-07-03,22:00:00,Sunday,29.22,82,5,E,No
2022-07-03,23:00:00,Sunday,29.22,81,0,CALM,No
